id,name,genre,artists,album,popularity,duration_ms,explicit,Clusters,name_lower
0xJDTRuEuSlP95wHnrLnLx,in dreams - alternative version,alternative,Sierra Ferrell,In Dreams (Alternative Version),49,163149,False,0,in dreams - alternative version
5QOXH3mNBeA3BEVmi4U3Cl,alternative rock,alternative,"HOYO-MiX, 王可鑫",Honkai: Star Rail - Out of Control (Original Game Soundtrack),26,78750,False,1,alternative rock
4OMIla1g8I2gD7BcX1er6E,alternate ending,alternative,Liza,The Alternate Ending,29,158478,False,1,alternate ending
5yYKXfy77bJ2ruKozl25QM,alternative space,alternative,ぬいぐるみクレヨン Lush Crayon,Mine on the Street,22,252464,False,3,alternative space
1WVBHXEnvQ8TNPPTsoejMS,alternate ending,alternative,Chloe Ament,Alternate Ending,15,248661,False,1,alternate ending
6h77X5H4dP9l2jzG92vVv0,the alternative polka,alternative,"""Weird Al"" Yankovic",Bad Hair Day,34,290906,False,3,the alternative polka
25F4aCgBMe1g3c2v8ftZuI,alternate reality,alternative,Cowboy Mouth,Alternate Reality,13,211897,False,1,alternate reality
51q8dtQBsoDWAMEcGhKsXa,"…well, better than the alternative",alternative,Will Wood,The Normal Album,46,254986,True,0,"…well, better than the alternative"
1k3I0SuAtNLKmvYZUySb0v,alternative,alternative,Ambriosa Flame,Alternative,12,62000,False,1,alternative
5amsbekD8wrUSrOw0O2jlS,alternative flow,alternative,Sarah Fortwo,Alternative Flow,24,113880,False,1,alternative flow
4XDHGaAFSH4Q8J4rCbnZwv,alt psycho (intro),alternative,Layto,alternative psycho (deluxe),15,53276,False,1,alt psycho (intro)
6JTHK2MNg5iFewS1PVk4ZX,alternative,alternative,Decanõe,Alternative,25,176597,False,1,alternative
1JI1QrQ7FrtZRqW1dXcvLd,alternian idiot,alternative,Broadway Homestuck,Broadway Karkat,17,175229,False,1,alternian idiot
1OTTsC0cNRDUXNTULzJMsu,you are an idiot! - alternative version [sped up],alternative,APOCALIPSIS,You Are an Idiot! (Alternates),50,114335,False,0,you are an idiot! - alternative version [sped up]
4uAalOPic5WOPJF1kANXCt,since i don't have you (alternative take),alternative,The Skyliners,The Skyliners,46,158840,False,0,since i don't have you (alternative take)
7fCwdq1teIVh8QdYDWghnQ,undefined,alternative,Alter.,Undefined,24,124675,False,1,undefined
0dA2HIxFnBXsZtsJO7jF6m,alternative 3 - remastered 2005,alternative,Brian Eno,Music For Films,18,195066,False,1,alternative 3 - remastered 2005
